Countries;31/12/2019;01/01/2020;02/01/2020;03/01/2020;04/01/2020;05/01/2020;06/01/2020;07/01/2020;08/01/2020;09/01/2020;10/01/2020;11/01/2020;12/01/2020;13/01/2020;14/01/2020;15/01/2020;16/01/2020;17/01/2020;18/01/2020;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020;26/01/2020;27/01/2020;28/01/2020;29/01/2020;30/01/2020;31/01/2020;01/02/2020;02/02/2020;03/02/2020;04/02/2020;05/02/2020;06/02/2020;07/02/2020;08/02/2020;09/02/2020;10/02/2020;11/02/2020;12/02/2020;13/02/2020;14/02/2020;15/02/2020;16/02/2020;17/02/2020;18/02/2020;19/02/2020;20/02/2020;21/02/2020;22/02/2020;23/02/2020;24/02/2020;25/02/2020;26/02/2020;27/02/2020;28/02/2020;29/02/2020;01/03/2020;02/03/2020;03/03/2020;04/03/2020;05/03/2020;06/03/2020;07/03/2020;08/03/2020;09/03/2020;10/03/2020;11/03/2020;12/03/2020;13/03/2020;14/03/2020;15/03/2020;16/03/2020;17/03/2020;18/03/2020;19/03/2020;20/03/2020;21/03/2020;22/03/2020;23/03/2020;24/03/2020;25/03/2020;26/03/2020;27/03/2020;28/03/2020;29/03/2020;30/03/2020;31/03/2020;01/04/2020;02/04/2020;03/04/2020;04/04/2020;05/04/2020;06/04/2020;07/04/2020;08/04/2020;09/04/2020;10/04/2020;11/04/2020;12/04/2020;13/04/2020;14/04/2020;15/04/2020;16/04/2020;17/04/2020;18/04/2020;19/04/2020;20/04/2020;21/04/2020;22/04/2020;23/04/2020;24/04/2020;25/04/2020;26/04/2020;27/04/2020;28/04/2020;29/04/2020;30/04/2020;01/05/2020;02/05/2020;03/05/2020;04/05/2020;05/05/2020;06/05/2020;07/05/2020;08/05/2020;09/05/2020;10/05/2020;11/05/2020;12/05/2020;13/05/2020;14/05/2020;15/05/2020;16/05/2020;17/05/2020;18/05/2020;19/05/2020;20/05/2020;21/05/2020;22/05/2020;23/05/2020;24/05/2020;25/05/2020;26/05/2020;27/05/2020;28/05/2020;29/05/2020;30/05/2020;31/05/2020;01/06/2020;02/06/2020;03/06/2020;04/06/2020;05/06/2020;06/06/2020;07/06/2020;08/06/2020;09/06/2020;10/06/2020;11/06/2020;12/06/2020;13/06/2020;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;21/06/2020;22/06/2020;23/06/2020;24/06/2020;25/06/2020;26/06/2020;27/06/2020;28/06/2020;29/06/2020;30/06/2020;01/07/2020;02/07/2020;03/07/2020;04/07/2020;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020;12/07/2020;13/07/2020;14/07/2020;15/07/2020;16/07/2020;17/07/2020;18/07/2020;19/07/2020;20/07/2020;21/07/2020;22/07/2020;23/07/2020;24/07/2020;25/07/2020;26/07/2020;27/07/2020;28/07/2020;29/07/2020;30/07/2020;31/07/2020;01/08/2020;02/08/2020;03/08/2020;04/08/2020;05/08/2020;06/08/2020;07/08/2020;08/08/2020;09/08/2020;10/08/2020;11/08/2020;12/08/2020;13/08/2020;14/08/2020;15/08/2020;16/08/2020;17/08/2020;18/08/2020;19/08/2020;20/08/2020;21/08/2020;22/08/2020;23/08/2020;24/08/2020;25/08/2020;26/08/2020;27/08/2020;28/08/2020;29/08/2020;30/08/2020;31/08/2020;01/09/2020;02/09/2020;03/09/2020;04/09/2020;05/09/2020;06/09/2020;07/09/2020;08/09/2020;09/09/2020;10/09/2020;11/09/2020;12/09/2020;13/09/2020;14/09/2020;15/09/2020;16/09/2020;17/09/2020;18/09/2020;19/09/2020;20/09/2020;21/09/2020;22/09/2020;23/09/2020;24/09/2020;25/09/2020;26/09/2020;27/09/2020;28/09/2020;29/09/2020;30/09/2020;01/10/2020;02/10/2020;03/10/2020;04/10/2020;05/10/2020;06/10/2020;07/10/2020;08/10/2020;09/10/2020;10/10/2020;11/10/2020;12/10/2020;13/10/2020;14/10/2020;15/10/2020;16/10/2020;17/10/2020;18/10/2020;19/10/2020;20/10/2020;21/10/2020;22/10/2020;23/10/2020;24/10/2020;25/10/2020;26/10/2020;27/10/2020;28/10/2020;29/10/2020;30/10/2020;31/10/2020;01/11/2020;02/11/2020;03/11/2020;04/11/2020;05/11/2020;06/11/2020;07/11/2020;08/11/2020;09/11/2020;10/11/2020;11/11/2020;12/11/2020;13/11/2020
Qatar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;5;0;0;3;1;3;3;6;238;0;58;17;64;38;3;10;8;10;11;13;7;25;11;12;13;28;44;59;88;54;114;0;376;279;228;225;153;166;136;216;251;252;197;283;392;560;345;440;567;518;608;623;761;833;929;957;677;643;845;687;776;679;640;951;830;918;1311;1130;1189;1103;1526;1390;1733;1153;1547;1632;1365;1637;1491;1554;1830;1732;1501;1751;1742;1740;1967;1993;2355;1648;1523;1826;1901;1581;1754;1700;1595;1368;1721;1716;1476;1517;1828;1186;1274;1201;1097;1267;1021;1026;881;1034;1176;1199;1060;946;879;750;693;982;915;894;756;530;616;546;600;608;557;520;498;470;418;517;450;464;451;410;340;389;393;441;373;394;398;269;292;283;273;307;235;216;196;215;216;267;287;291;267;297;315;384;292;343;251;277;271;288;293;295;268;257;284;243;258;232;244;246;208;211;168;203;216;212;214;217;227;231;253;231;267;206;235;236;217;235;239;235;244;224;229;230;228;313;258;250;225;200;234;227;222;227;199;205;175;159;194;251;238;213;206;178;207;206;214;198;200;189;235;204;240;273;266;252;249;254;205;262;257;250;211;193;213;164;197;226;227;249;192;202;190;230;230;224;0
Romania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;2;1;6;2;2;8;20;19;25;24;26;45;33;43;17;31;59;66;143;186;144;123;263;160;308;192;293;215;278;445;430;251;193;360;344;441;265;523;310;333;246;337;491;360;351;328;190;306;468;386;321;218;401;303;277;362;262;327;165;431;349;325;270;392;312;320;231;226;190;224;245;190;267;167;165;155;196;198;127;145;213;213;146;165;197;191;151;124;141;119;152;238;196;187;189;125;145;196;237;222;275;320;166;250;345;320;320;330;315;246;214;321;460;411;325;291;269;388;326;450;420;416;391;250;397;555;614;592;698;456;413;637;641;777;799;889;767;681;994;1030;1112;1119;1284;1120;1104;1151;1182;1356;1295;1225;1075;823;1232;1309;1345;1378;1350;1145;779;1215;1415;1454;1415;1328;1087;733;1014;1409;1346;1392;1189;981;805;1060;1256;1504;1318;1365;952;755;1053;1298;1365;1339;1269;1150;883;1136;1271;1380;1391;1311;1109;692;1111;1713;1679;1527;1333;1231;808;1059;1767;1639;1629;1552;1438;1271;1470;2158;2086;2343;2064;0;3426;2121;2958;3130;3186;3517;2880;2069;3109;4016;4013;4026;3952;3920;2466;3400;4848;4902;5028;4761;3855;2844;4724;5343;6481;6546;5753;5324;4041;7733;8651;9714;10260;9937;6752;3240;7304;9799;0
Russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;6;0;0;0;0;15;5;15;14;4;30;21;33;52;54;53;61;71;57;163;182;196;228;270;302;501;440;771;601;582;658;954;1154;1175;1459;1786;1667;2186;2558;2774;3388;3448;4070;4785;6060;4268;5642;5236;4774;5849;5966;6361;6198;6411;5841;7099;7933;9623;10633;10581;10102;10559;11231;10699;10817;11012;11656;10899;10028;9974;10598;9200;9709;8926;9263;8764;8849;8894;9434;8599;8946;8915;8338;8371;8572;8952;9268;9035;8863;8536;8831;8726;8855;8984;8985;8595;8404;8779;8987;8706;8835;8246;8248;7843;7790;7972;7889;7728;7600;7425;7176;7113;6800;6852;6791;6719;6693;6556;6760;6718;6632;6736;6611;6368;6562;6509;6635;6611;6615;6537;6248;6422;6428;6406;6234;6109;5940;5842;5862;5848;5811;5871;5765;5635;5395;5475;5509;5482;5462;5427;5394;5159;5920;4551;5241;5212;5189;5118;4945;5102;5057;5065;5061;4969;4892;4748;4828;4785;4870;4921;4852;4744;4696;4676;4711;4829;4941;4980;4993;4729;4952;4995;5110;5205;5195;5185;5099;5218;5363;5504;5488;5449;5509;5529;5670;5762;5905;6065;6148;6196;6215;6431;6595;7212;7523;7867;8135;8232;8481;8945;9412;9859;10499;10888;11615;11115;11493;12126;12846;13634;13592;13868;14231;13754;15150;14922;15099;15982;16319;15700;15971;17340;16521;16710;17347;16550;16202;17717;18283;18140;18665;18257;18648;19768;19404;20582;20396;20498;21798;20977;19851;0
Rwanda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;2;4;0;6;0;2;17;4;1;9;4;6;10;0;5;7;0;7;13;2;1;0;5;3;5;2;6;1;7;2;2;5;1;3;0;3;3;1;22;7;8;16;5;13;18;6;6;4;2;0;7;3;2;7;4;1;1;1;0;0;2;3;5;11;6;6;1;4;2;9;3;7;3;6;4;11;7;7;13;13;10;11;8;12;12;13;18;16;31;41;30;24;3;7;15;41;26;59;11;32;20;8;20;22;101;24;17;21;18;11;13;8;59;22;16;42;47;38;41;38;19;38;12;54;43;47;26;34;21;19;23;69;58;47;10;58;28;20;20;30;7;5;7;17;6;6;12;19;18;11;93;59;101;87;37;67;73;63;109;200;217;231;88;47;70;101;177;43;79;76;37;49;45;25;35;30;21;19;55;31;26;11;22;10;19;18;18;22;11;16;41;10;9;13;9;12;4;4;3;4;5;14;1;6;10;2;5;2;4;9;3;32;13;12;6;3;18;5;15;5;35;8;6;7;11;45;2;3;3;9;9;7;12;18;16;5;9;20;20;50;0
Saint_Kitts_and_Nevis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;5;0;1;0;0;1;1;0;1;0;0;0;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saint_Lucia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;5;0;4;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;1;1;0;3;0;3;3;6;4;2;9;0;10;3;2;0;6;0;13;8;1;4;13;8;10;7;0;0
Saint_Vincent_and_the_Grenadines;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;3;6;6;0;0;0;2;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;5;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0
San_Marino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7;0;2;5;7;1;3;11;12;13;4;1;6;19;6;4;2;5;17;25;0;0;36;0;21;10;5;1;5;0;1;6;9;6;8;7;11;2;29;25;11;12;0;0;16;20;34;9;20;6;1;14;12;13;12;0;25;0;15;10;6;11;0;2;0;7;19;14;1;14;-9;0;10;5;5;4;1;1;0;1;1;2;3;4;0;1;0;1;3;1;0;0;16;0;0;0;0;0;0;0;1;3;0;3;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;5;0;0;0;0;0;19;0;1;0;0;0;0;0;0;7;0;0;0;7;0;8;28;17;0;0;33;0;75;1;0;0;0;0;66;0;49;0;0;0;71;0;76;0
Sao_Tome_and_Principe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;3;3;2;2;0;0;156;0;0;13;21;0;0;4;8;15;0;0;0;0;11;5;0;0;0;40;8;0;142;2;15;5;16;4;1;0;0;15;10;4;1;0;0;118;7;11;9;2;0;10;12;5;5;5;0;4;5;3;1;1;1;0;0;1;1;2;2;0;1;1;3;0;2;1;0;2;3;0;5;3;1;2;3;0;0;1;2;111;2;1;2;2;1;2;1;3;0;0;1;3;0;0;0;0;0;3;1;0;1;2;0;0;0;0;0;3;4;0;0;0;0;2;1;0;1;0;0;0;1;0;1;0;0;0;0;3;5;0;0;0;1;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;2;0;0;1;0;7;1;0;7;0;0;0;0;3;0;1;0;0;2;0;3;2;0;1;0;2;1;1;0;4;0;5;4;0;2;2;0;0;0;0;0
Saudi_Arabia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;2;4;4;5;25;17;24;0;32;15;0;38;67;36;118;119;51;205;133;112;92;99;26;224;110;157;165;0;294;206;138;272;137;355;364;382;429;472;435;493;518;762;1132;1088;1122;1147;1141;1158;1172;1197;1223;1289;1266;1325;1351;1344;1362;1552;1645;1595;1687;1793;1701;1704;1912;1966;1911;1905;2039;2307;2840;2736;2593;2509;2691;2532;2642;2442;2399;2235;1931;1815;1644;1581;1618;1877;1881;1869;2171;1975;2591;3121;3045;3369;3288;3717;3733;3921;3366;4233;4507;4267;4919;4757;4301;3941;3379;3393;3139;3123;3372;3938;3927;3989;3943;4387;3402;3383;4193;4128;3580;4207;3392;3036;3183;3159;2994;2779;2852;2692;2671;2764;2613;2565;2504;2429;2476;2331;2238;2378;2201;1968;1993;1897;1759;1629;1686;1573;1357;1258;1342;1389;1402;1567;1469;1428;1257;1521;1569;1482;1383;1413;1227;1372;1419;1353;1287;1213;1184;1109;1175;1114;1068;1019;1069;987;910;951;898;816;833;822;791;895;768;642;775;708;687;643;601;607;672;621;593;576;551;483;492;552;561;498;472;461;403;455;539;418;492;481;419;390;379;477;468;421;407;405;323;348;474;501;472;433;359;348;381;385;405;401;383;395;323;357;399;416;435;398;402;374;381;473;426;450;436;407;363;392;471;394;0
Senegal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;2;13;2;5;1;4;5;0;11;9;11;12;7;13;6;14;11;12;20;13;15;5;12;12;3;4;11;7;6;15;13;2;11;8;15;21;7;8;17;10;35;30;37;66;69;57;64;88;59;51;91;91;67;89;58;104;59;59;83;75;177;109;110;84;121;119;51;64;73;97;98;97;67;71;83;31;92;95;81;106;110;94;97;96;89;134;94;79;99;89;124;119;92;145;94;83;74;122;106;164;99;150;82;64;95;104;121;105;127;112;95;132;129;110;108;128;78;69;110;127;98;132;121;63;45;126;112;63;125;141;138;37;136;145;156;130;129;83;41;156;145;126;52;60;42;46;106;177;172;146;142;137;68;207;153;132;160;130;75;68;141;113;130;161;99;64;43;130;108;90;72;100;55;57;75;83;55;67;39;27;30;58;48;43;44;43;26;223;39;50;27;43;26;24;21;36;21;0;53;40;10;26;37;37;32;17;26;28;19;33;16;23;31;24;24;15;24;17;20;24;26;14;27;25;24;17;18;8;14;6;11;11;12;11;14;7;0;3;0;36;17;15;3;9;15;0
Serbia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;13;6;17;5;9;2;15;22;32;9;14;39;34;27;54;81;73;202;82;44;115;160;111;305;148;284;292;247;219;201;238;275;250;424;411;408;445;372;304;324;312;260;224;162;207;296;263;233;222;227;285;196;157;102;93;120;114;57;95;89;82;62;67;52;79;64;58;114;89;34;100;86;105;68;67;34;34;48;25;54;27;31;18;24;69;48;96;74;82;73;69;66;71;73;76;59;57;59;96;94;93;94;91;96;102;143;137;193;227;254;242;276;272;359;309;325;302;289;299;357;266;386;345;287;279;344;351;383;392;389;396;359;352;426;412;409;411;467;411;379;372;321;339;330;311;258;287;295;299;276;255;236;163;235;254;247;235;238;211;100;108;158;161;169;170;109;57;106;154;125;108;75;83;41;76;99;95;96;77;56;36;53;84;58;92;72;108;29;74;102;82;62;83;68;30;61;81;83;75;74;72;30;65;72;111;73;107;59;0;171;121;151;173;168;102;67;152;245;203;265;227;214;122;326;512;416;579;757;614;341;1053;1328;1384;1545;1817;1449;802;1878;2412;2181;2282;2677;2112;1318;2823;3536;0
Seychelles;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;2;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;10;3;6;0;0;0;0;0;0;0;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;0;0;0;0;0
Sierra_Leone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;2;0;0;1;0;1;2;0;1;0;2;2;11;4;5;8;7;11;3;18;0;11;6;5;12;8;12;19;2;21;21;26;6;26;34;16;31;0;49;21;39;15;43;14;15;36;15;21;15;86;28;19;28;30;17;23;9;0;35;13;5;15;17;23;32;24;37;23;18;29;37;7;49;24;23;26;11;18;13;7;7;27;13;16;17;23;12;36;20;6;9;9;0;30;12;14;15;5;17;7;9;17;10;10;13;10;0;16;4;21;0;16;15;0;3;17;15;0;5;20;5;7;5;17;10;8;21;1;15;5;3;7;7;2;0;3;2;8;3;8;12;5;4;2;10;0;6;3;4;2;1;6;6;0;13;1;9;3;2;18;9;13;0;17;7;0;20;6;9;0;6;9;5;11;9;7;0;7;9;7;14;7;10;0;8;10;6;2;5;6;0;3;6;8;2;2;3;1;5;1;3;3;2;1;0;4;4;8;3;1;0;0;2;1;2;2;8;0;4;1;0;0
Singapore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;1;2;3;3;3;2;0;0;6;4;2;3;7;3;2;2;3;8;9;5;3;2;4;3;1;1;3;0;1;1;2;3;2;4;4;2;2;2;5;13;8;12;10;6;12;9;13;14;12;17;23;47;32;40;47;23;54;49;10;26;138;71;41;0;35;121;49;65;75;120;66;106;142;286;0;390;233;386;334;447;728;623;942;596;1426;1111;1016;1037;897;618;931;799;528;690;528;932;447;657;573;632;788;741;768;753;876;451;884;675;752;793;465;682;305;451;570;448;614;642;548;344;383;533;373;611;506;518;408;544;569;517;261;344;383;386;218;451;422;463;347;407;214;151;247;257;142;218;262;218;119;191;113;219;291;213;202;246;215;188;169;185;0;319;157;158;124;191;170;178;322;346;249;248;327;202;257;123;399;310;354;277;513;481;469;359;334;278;396;307;313;226;295;908;301;242;132;175;188;61;42;102;83;81;86;91;100;93;68;117;50;87;51;31;60;77;94;51;54;41;40;8;48;0;74;40;22;47;75;63;86;42;49;48;34;26;18;11;15;18;30;21;12;15;11;20;15;15;27;0;42;10;6;12;7;11;10;9;10;7;10;4;4;5;3;9;3;7;4;6;12;8;10;14;5;3;7;7;7;9;12;4;1;9;7;7;4;7;2;8;9;18;0
Sint_Maarten;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;10;7;0;0;2;0;15;0;10;0;0;0;2;0;5;0;0;7;3;1;0;5;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;3;10;0;0;20;7;0;7;0;0;18;4;6;4;16;1;12;0;0;30;29;15;6;31;17;9;0;22;5;0;15;28;12;10;24;2;0;16;3;13;6;0;22;7;0;0;5;11;3;0;1;2;16;0;0;8;8;9;10;0;7;3;22;2;9;6;11;1;14;8;1;6;4;1;7;0;3;9;5;4;3;0;9;10;8;9;3;4;3;0;13;7;4;0;4;5;0;16;0;0;21;5;13;15;11;7;9;0;10;0;12;2;0
Slovakia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;2;3;11;9;14;17;23;13;10;16;14;41;7;6;13;12;10;69;0;41;0;27;37;26;24;21;14;49;47;101;19;14;13;14;27;66;28;114;72;40;72;12;26;45;81;35;13;6;2;3;7;5;7;4;1;5;8;8;16;10;0;2;0;8;4;8;3;13;1;1;0;1;6;1;1;5;2;2;2;5;0;1;1;0;0;3;1;0;2;0;2;1;2;8;1;3;3;4;0;9;1;14;10;1;1;1;18;23;13;14;7;1;2;20;13;20;29;15;1;2;31;53;19;23;8;1;6;19;24;14;11;3;1;41;37;31;29;23;38;2;23;41;20;27;45;7;10;14;49;63;43;43;30;3;16;75;49;62;54;47;5;15;100;80;123;91;40;68;28;84;90;102;114;34;41;72;53;121;137;226;88;22;91;161;133;231;201;79;48;188;92;161;235;290;131;79;175;338;360;419;552;478;265;231;567;797;679;704;818;353;320;877;1037;1184;1887;1054;504;531;1410;1929;2075;1968;1567;860;705;2202;1728;2581;2890;3042;1312;901;2887;2785;3363;2573;2282;1883;1727;3216;1962;2354;2579;1828;577;1051;2058;0
